Product SEO Sample (40 products),,,,,,,
Summary: Missing meta desc = 1/40 | Product schema = 40/40 | AggregateRating = 1/40 | Avg title length ≈ 37 chars (often missing store brand name),,,,,,,
Handle,Title,Title length,Has meta desc?,Meta length,Product schema?,Review schema?,Notes
pre-workout,Limitless Pharma BLOW Pre-Workout 50 Servings,45,YES,320,YES,NO,No review stars schema; Consider appending | Lift The City
allmax-agmatine-sulfate,Allmax Agmatine 45g,19,YES,131,YES,NO,Title short — add variant/benefit/brand keywords; No review stars schema; Consider appending | Lift The City
allmax-l-glutamine,Allmax L-Glutamine 400g &amp; 1000g,35,YES,320,YES,NO,No review stars schema; Consider appending | Lift The City
atp-omega-pure,ATPLab Omega Pure 120 Softgels,30,YES,320,YES,NO,No review stars schema; Consider appending | Lift The City
atp-labs-iso,ATPLab 100% Whey Protein Isolate 900g,37,YES,320,YES,NO,No review stars schema; Consider appending | Lift The City
progressive-vegessential-all-in-one,Progressive Vegessential All In One 840g (Clearance),52,YES,324,YES,NO,No review stars schema; Consider appending | Lift The City
pvl-isogold,"PVL Isogold 340g, 1.85LB &amp; 5LB",34,YES,324,YES,YES,Consider appending | Lift The City
himalaya-ashwagandha,Himalaya Ashwagandha 60 &amp; 90 Capsules,41,YES,320,YES,NO,No review stars schema; Consider appending | Lift The City
dymatize-iso100-protein,Dymatize Iso100 Protein 1.34LB &amp; 5LB,40,YES,320,YES,NO,No review stars schema; Consider appending | Lift The City
pvl-water-tight-90-capsules,PVL WaterTight 90 Capsules,26,YES,320,YES,NO,No review stars schema; Consider appending | Lift The City
lifttech-padded-leather-belt-4,Lifttech Padded Leather Belt 4&quot; &amp; 6&quot;,50,YES,325,YES,NO,No review stars schema
quest-mini-peanut-butter-cups,Quest Mini Peanut Butter Cups 128g,34,YES,324,YES,NO,No review stars schema; Consider appending | Lift The City
unisex-gold-ambition-premium-midweight-hoodie,Unisex &quot;Gold Ambition&quot; Premium Midweight Hoodie,57,YES,266,YES,NO,No review stars schema; Consider appending | Lift The City
beyond-yourself-amrap,Beyond Yourself AMRAP 400g,26,YES,320,YES,NO,No review stars schema; Consider appending | Lift The City
unisex-ltc-vice-edition-premium-t-shirt-pre-order,Unisex LTC &quot;Vice Edition&quot; Premium T-Shirt,51,YES,330,YES,NO,No review stars schema; Consider appending | Lift The City
atplab-ultra-omega-3,ATPLab Ultra Omega 3 60 Capsules,32,YES,279,YES,NO,No review stars schema; Consider appending | Lift The City
copy-of-owala-freesip-32-oz,Owala FreeSip 24oz,18,YES,203,YES,NO,Title short — add variant/benefit/brand keywords; No review stars schema; Consider appending | Lift The City
