Collections Audit Sample (66 collections checked live),,,,,,,
Summary: Missing meta description = 65/66 | Weak titles (<20 chars) = 56/66 | Empty (0 products) = 14/66 | Thin (1–3 products) = 21/66,,,,,,,
Recommendation legend: DELETE/HIDE = remove from index | WRITE SEO = add title+meta+copy | KEEP+OPTIMIZE = important commercial page,,,,,,,
Collection handle,Title,Title length,Has meta desc?,Products (≤250 API),H1,Recommended action,Suggested SEO title (example)
flow-cbd-1,FLOW CBD,8,NO,-1,,MERGE/THIN — write SEO or consolidate,Buy Flow Cbd in Canada | Lift The City Supplements
flow-cbd,fLOW CBD,8,NO,0,,DELETE/HIDE (empty),
forever-aesthetic,FOREVER AESTHETIC,17,NO,0,,DELETE/HIDE or NOINDEX,
gabba,GABA,4,NO,0,,DELETE/HIDE (empty),
gummies,GUMMIES,7,NO,0,,DELETE/HIDE (empty),
gussy-company-inc-dog-walking,GUSSY & COMPANY INC. DOG WALKING,36,NO,0,,DELETE/HIDE or NOINDEX,
gym-meal-prep-bags,MEAL PREP BAGS,14,NO,0,,DELETE/HIDE (empty),
meal-replacement-1,MEAL REPLACEMENT,16,NO,0,,DELETE/HIDE (empty),
natural-path,Natural Path,12,NO,0,,DELETE/HIDE (empty),
protein-almond-butter,PROTEIN ALMOND BUTTER,21,NO,0,,DELETE/HIDE (empty),
remodd-full-renovation-services,REMODD FULL RENOVATION SERVICES,31,NO,0,,DELETE/HIDE or NOINDEX,
shirts,SHIRTS,6,NO,0,,DELETE/HIDE (empty),
smart-solutions,SMART SOLUTIONS,15,NO,0,,DELETE/HIDE (empty),
sugar-free-dressings,SUGAR FREE DRESSINGS,20,NO,0,,DELETE/HIDE (empty),
womens-apparel,WOMEN'S APPAREL,19,NO,0,,DELETE/HIDE (empty),
built,BUILT,5,NO,1,BUILT,MERGE/THIN — write SEO or consolidate,Buy Built in Canada | Lift The City Supplements
cla,CLA,3,NO,1,CLA,MERGE/THIN — write SEO or consolidate,Buy Cla in Canada | Lift The City Supplements
das-labs,DAS LABS,8,NO,1,DAS LABS,MERGE/THIN — write SEO or consolidate,Buy Das Labs in Canada | Lift The City Supplements
digestive-aid,FIBER,5,NO,1,FIBER,MERGE/THIN — write SEO or consolidate,Buy Fiber in Canada | Lift The City Supplements
eaas-stimulants,EAAs + STIMULANTS,17,NO,1,EAAs + STIMULANTS,MERGE/THIN — write SEO or consolidate,Buy Eaas + Stimulants in Canada | Lift The City Supplements
frontpage,Home page,9,NO,1,Home page,DELETE/HIDE or NOINDEX,
isopure,ISOPURE,7,NO,1,ISOPURE,MERGE/THIN — write SEO or consolidate,Buy Isopure in Canada | Lift The City Supplements
protein-cookies,PROTEIN COOKIES,15,NO,1,PROTEIN COOKIES,MERGE/THIN — write SEO or consolidate,Buy Protein Cookies in Canada | Lift The City Supplements
diuretics,DIURETICS,9,NO,2,DIURETICS,MERGE/THIN — write SEO or consolidate,Buy Diuretics in Canada | Lift The City Supplements
general,GENERAL,7,NO,2,GENERAL,MERGE/THIN — write SEO or consolidate,Buy General in Canada | Lift The City Supplements
goli,GOLI,4,NO,2,GOLI,MERGE/THIN — write SEO or consolidate,Buy Goli in Canada | Lift The City Supplements
mushrooms,MUSHROOMS,9,NO,2,MUSHROOMS,MERGE/THIN — write SEO or consolidate,Buy Mushrooms in Canada | Lift The City Supplements
redcon1,REDCON1,7,NO,2,REDCON1,MERGE/THIN — write SEO or consolidate,Buy Redcon1 in Canada | Lift The City Supplements
spreads,SPREADS,7,NO,2,SPREADS,MERGE/THIN — write SEO or consolidate,Buy Spreads in Canada | Lift The City Supplements
tested-nutrition,TESTED NUTRITION,16,NO,2,TESTED NUTRITION,MERGE/THIN — write SEO or consolidate,Buy Tested Nutrition in Canada | Lift The City Supplements
whey-concentrate,WHEY CONCENTRATE,16,NO,2,WHEY CONCENTRATE,MERGE/THIN — write SEO or consolidate,Buy Whey Concentrate in Canada | Lift The City Supplements
beef,BEEF,4,NO,3,BEEF,MERGE/THIN — write SEO or consolidate,Buy Beef in Canada | Lift The City Supplements
carbohydrates,CARBOHYDRATES,13,NO,3,CARBOHYDRATES,MERGE/THIN — write SEO or consolidate,Buy Carbohydrates in Canada | Lift The City Supplements
preworkout-elements,PREWORKOUT ELEMENTS,19,NO,3,PREWORKOUT ELEMENTS,MERGE/THIN — write SEO or consolidate,Buy Preworkout Elements in Canada | Lift The City Supplements
protein-shakes,PROTEIN SHAKES,14,NO,3,PROTEIN SHAKES,MERGE/THIN — write SEO or consolidate,Buy Protein Shakes in Canada | Lift The City Supplements
top-5-fat-burners,TOP FAT BURNERS,15,NO,3,TOP FAT BURNERS,MERGE/THIN — write SEO or consolidate,Buy Top Fat Burners in Canada | Lift The City Supplements
gda-glucose-disposal-agents,METABOLISM SUPPORT,18,NO,4,METABOLISM SUPPORT,WRITE SEO,Buy Metabolism Support in Canada | Lift The City Supplements
new-collection,New Products,12,NO,4,New Products,WRITE SEO,Buy New Products in Canada | Lift The City Supplements
womens-health,WOMEN'S HORMONE,19,NO,4,WOMEN'S HORMONE,WRITE SEO,Buy Women'S Hormone in Canada | Lift The City Supplements
optimum-nutrition,OPTIMUM NUTRITION,17,NO,5,OPTIMUM NUTRITION,WRITE SEO,Buy Optimum Nutrition in Canada | Lift The City Supplements
progressive,PROGRESSIVE,11,NO,5,PROGRESSIVE,WRITE SEO,Buy Progressive in Canada | Lift The City Supplements
rule-1,RULE 1,6,NO,5,RULE 1,WRITE SEO,Buy Rule 1 in Canada | Lift The City Supplements
therapy-and-skin-care,THERAPY AND HYGIENE,19,NO,5,THERAPY AND HYGIENE,WRITE SEO,Buy Therapy And Hygiene in Canada | Lift The City Supplements
top-5-bcaa-eaa,TOP BCAA/EAA,12,NO,5,TOP BCAA/EAA,WRITE SEO,Buy Top Bcaa/Eaa in Canada | Lift The City Supplements
mutant,MUTANT,6,NO,6,MUTANT,WRITE SEO,Buy Mutant in Canada | Lift The City Supplements
pantry,PANTRY,6,NO,7,PANTRY,WRITE SEO,Buy Pantry in Canada | Lift The City Supplements
hormone-stress,HORMONE CARE,12,NO,10,HORMONE CARE,KEEP+OPTIMIZE — WRITE SEO,Buy Hormone Care in Canada | Lift The City Supplements
pe-science,PESCIENCE,9,NO,10,PESCIENCE,KEEP+OPTIMIZE — WRITE SEO,Buy Pescience in Canada | Lift The City Supplements
