Executive Summary — What is going well vs what is broken,,,,
WORKING WELL (keep these),,,,
Item,Evidence,Why it helps SEO,,
HTTPS + HSTS,strict-transport-security present; HTTP 301→HTTPS,Secure ranking/trust signal,,
Preferred www host,non-www 301 → www with x-redirect-reason: canonical_host_redirection,Prevents duplicate host versions,,
robots.txt quality,Disallows cart/checkout/account/filters/sort; points to sitemap,Protects crawl budget,,
XML sitemap index,"Products, collections, pages, blogs, agentic discovery",Google can discover catalog,,
Product JSON-LD,Product + Offer + Brand (+ AggregateRating on some),Enables product rich results,,
Product meta descriptions,39/40 sampled products had meta descriptions,Better snippets than collections,,
Canonical tags,Present on key templates; trailing-slash canon to clean URL,Duplicate consolidation,,
Fast TTFB,~25–30 ms server response from audit location,Good server foundation for CWV,,
Modern images,WebP widely used via Shopify CDN,Lighter images / better LCP potential,,
Clear commercial niche,"Protein, creatine, pre-workout, Toronto + Canada shipping",Strong keyword positioning opportunity,,
BROKEN OR WEAK (fix these),,,,
Issue,Severity,Evidence,Business impact,
Collections missing meta descriptions,CRITICAL,65 of 66 sampled collections had empty meta description,Poor CTR in Google; weaker relevance,
Weak/generic titles,CRITICAL,"Titles like 'PROTEIN', 'Products', 'News', 'Contact'",Loses keyword + brand CTR battle,
Empty & irrelevant collections indexed,CRITICAL,"Examples: gussy-company-inc-dog-walking, remodd-full-renovation-services, empty gummies/shirts",Dilutes topical authority; junk in SERP,
No About / FAQ / Store Location pages,CRITICAL,All returned 404,Missed E-E-A-T + local SEO,
Empty blog,HIGH,"Sitemap blogs = 1 URL (/blogs/news), 0 articles",No content funnel for informational searches,
Incomplete local NAP + no LocalBusiness schema,CRITICAL,Contact shows Toronto ON M5V 4A6 only; no street; schema = Breadcrumb only,Harder to win local pack / Maps trust,
Duplicate GTIN across variants,HIGH,"One product: 20 offers, 1 unique gtin12 reused",Rich result / Merchant Center risk,
Relative Offer URLs in schema,MEDIUM,offer.url like /products/...?... instead of absolute https://,Schema validation warnings,
Search page indexable,HIGH,/search canonicalizes to itself; no noindex,Index bloat / thin pages,
Cart not noindexed via meta,MEDIUM,/cart has robots none (blocked only by robots.txt),robots.txt block ≠ noindex; can still appear,
Homepage empty image alts,MEDIUM,48 images with empty alt,Missed image SEO + a11y,
Viewport disables zoom,MEDIUM,maximum-scale=1.0,Accessibility fail (Lighthouse),
Contact page missing H1 & meta,HIGH,"Title 'Contact', no description, H1 count 0",Weak conversion + SEO page,
Shipping claim inconsistency,MEDIUM,Meta mentions $149 GTA; banner $150 Toronto,Trust / snippet inconsistency,
Very heavy HTML documents,MEDIUM,Homepage ~405 KB HTML; product pages ~370–490 KB,Hurts mobile performance,
Almost no review schema coverage,MEDIUM,1/40 sampled products had AggregateRating,Fewer review stars in SERP,
SIMPLE VERDICT,,,,
"This is a commercially healthy Shopify store with a real local brand (Toronto) and a solid technical base. It is NOT losing because Google cannot crawl it. It is losing because collection/page SEO is nearly empty, local SEO is incomplete, the blog is unused, and too many thin/irrelevant collections are publicly indexable. Fixing titles/metas + cleaning collections + adding LocalBusiness/About/FAQ/blog will unlock the biggest gains.",,,,
