Priority Action Plan — Work top to bottom,,,,,,
Tip: Mark the Status column as Not started / In progress / Done as you work. This sheet is designed as your project tracker.,,,,,,
Phase,Priority,Action,Exact place to change,How to do it (simple steps),Done looks like,Status
1,CRITICAL,Audit & clean collections,Shopify Admin → Products → Collections,"1) Export collections. 2) Flag empty (0 products) and irrelevant (dog walking, renovation, etc.). 3) Delete or set to Hidden + remove from sitemap/menu. 4) Keep only real buying categories + brands.",No empty/off-topic collections in sitemap or navigation,Not started
1,CRITICAL,Write collection SEO titles & metas,Each Collection → Search engine listing preview,"For top 30 collections first (Protein, Creatine, Pre-workout, Fat burners, brands). Pattern: 'Buy {Collection} in Canada | Lift The City Supplements'. Meta: 150–160 chars with benefit + shipping + CTA.",Every money collection has unique title + meta,Not started
1,CRITICAL,Add full store NAP + LocalBusiness schema,Pages + theme.liquid / custom liquid,"1) Create Store Location / About page with street address, city, postal, phone, hours, map embed. 2) Add LocalBusiness JSON-LD (name, url, telephone, address, geo, openingHours). 3) Match Google Business Profile exactly.",Rich local entity visible to Google,Not started
1,CRITICAL,Fix product GTIN / barcode data,Products → each variant barcode,"Ensure each variant has correct unique barcode/GTIN. If unknown, leave blank rather than repeating one GTIN on all flavours/sizes.",Schema shows unique gtin per variant; no reused codes,Not started
2,HIGH,Create About + FAQ pages,Online Store → Pages,"About: brand story, Toronto roots, partners, shipping policy summary. FAQ: shipping thresholds, pickup, Canada-only, returns. Add to footer menu.",Indexable About & FAQ with unique metas,Not started
2,HIGH,Fix Contact page SEO,Pages → Contact,"Add H1 'Contact Lift The City Supplements – Toronto', meta description, complete street address, hours with times.",Contact ranks for brand+contact queries,Not started
2,HIGH,Noindex search (and cart via meta),search.liquid / theme robots,"Add <meta name='robots' content='noindex, follow'> on search template. Optionally cart template too.",site: search URLs drop from Google over time,Not started
2,HIGH,Upgrade title tag patterns sitewide,Theme SEO defaults / product & collection fields,Products: '{Product Name} | Lift The City'. Collections: keyword-rich. Homepage already OK — refine shipping consistency.,SERP titles show brand + keyword,Not started
2,HIGH,Launch content hub (blog),Blog posts,"Start with 6 money guides: whey isolate guide, creatine monohydrate, best pre-workout, plant protein, fat burner safety, Toronto supplement store pickup. Internally link to collections.",Blog has indexed articles driving collection links,Not started
3,MEDIUM,Fix image alt text,Theme / product media alt fields,"Describe product+brand in alts. Decorative icons: alt="""". Homepage currently has many empty alts.",No important product image without alt,Not started
3,MEDIUM,Remove maximum-scale=1.0 from viewport,theme.liquid <meta name=viewport>,"Use width=device-width, initial-scale=1 only.",Mobile pinch-zoom works; a11y audit passes,Not started
3,MEDIUM,Make Offer URLs absolute in JSON-LD,Product schema snippet in theme,Prefix https://www.liftthecitysupplements.com to offer.url values.,Rich Results Test shows no URL warnings,Not started
3,MEDIUM,Align shipping messaging,Homepage banner + meta description + shipping policy,Pick one number ($150 Toronto / $250 Canada) and use everywhere. Update meta that still says $149.,No conflicting free-shipping thresholds,Not started
3,MEDIUM,Reduce HTML/app bloat,Theme sections + app embeds,Remove unused apps/sections on home & collection templates. Lazy-load below-fold product grids already present — keep it.,HTML weight down; better LCP on mobile,Not started
3,MEDIUM,Grow review schema coverage,Review app (Judge.me/Loox/etc.) + product pages,Collect reviews; ensure app outputs AggregateRating only with real reviews.,More products eligible for star ratings,Not started
4,LOW,Add Organization sameAs social links in schema,Theme JSON-LD,Include Instagram and other profiles in Organization.sameAs.,Knowledge panel / entity clarity,Not started
4,LOW,Submit sitemap in GSC + monitor coverage,Google Search Console,"Add property, verify, submit /sitemap.xml, watch Excluded/Crawled issues after cleanup.",Coverage report shows fewer excluded/soft-404 style URLs,Not started
4,LOW,Optional: llms.txt / agents.md already present,Keep updated,Shopify provides agent discovery files — maintain accurate store facts there too.,AI shopping agents get correct NAP/shipping,Not started
